ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
RJ-2013-08697,Não,ESJ,2013,2010,,,,,,,O relatório não está disponível.
RJ-2006-05853,Não,ESJ,2006,2000,Não,Não,,Não,Não,3,
RJ-2011-05748,Não,PCTC,2011,2010,,,Sim,Não,Não,4,
19957-010391-2017-56,Não,ESJ,2017,2010,Sim,Sim,,Não,Não,4,
19957-005419-2018-14,Não,PCTC,2018,2010,,,Sim,Sim,Sim,1,"Divulgação errônea de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações"
RJ-2005-05038,Não,ESJ,2005,2000,Sim,Sim,,Não,Não,4,
19957-000589-2022-99,Não,PCTC,2022,2020,,,Sim,Sim,Sim,1,"Divulgação errônea de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações. "
19957-006019-2018-26,Não,ESJ,2018,2010,Sim,Sim,,Não,Não,9,
RJ-2006-05928,Não,ESJ,2006,2000,Sim,Não,,Sim,Sim,1,"Divulgação errônea de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações"
RJ-2013-09762,Não,ESJ,2013,2010,Sim,Sim,,Não,Não,2,
19957-004986-2019-34,Não,ESJ,2019,2010,Sim,Sim,,Sim,Sim,,"Divulgação errônea de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações – empresa em falência"
IA-1997-03,Não,ESJ,1997,1990,Sim,Não,,Sim,Sim,1,"Falsificações contábeis (não foram atrasos, as contas estavam fraudadas) feitas pelos administradores."
IA-2000-32,Não,ESJ,2000,2000,Sim,Não,,Não,Sim,13,Sócio da auditoria atuava como conselheiro fiscal da empresa que foi auditada.
RJ-2008-08243,Não,PCTC,2008,2000,,,Sim,Não,Não,"4, 7",
RJ-2015-01823,Não,ESJ,2015,2010,Sim,Sim,,Sim,Sim,1,"Erros contábeis, que podem prejudicar a tomada de decisões do acionista minoritário, mas os controladores não tiveram ganho direto."
19957-006367-2021-07,Não,PCTC,2021,2020,,,Sim,Sim,Não,4,
IA-2014-04,Não,PCTC,2014,2010,,,Sim,Não,Não,"2, 3, 11",
